name,year,movie_rated,run_length,genres,release_date,rating,description
Darkest Hour,2017,PG-13,2h 5min,Biography; Drama; ,22 December 2017 (USA),7.4,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler or fight on knowing that it could mean the end of the British Empire."
Dawn of the Dead,2004,R,1h 41min,Action; Horror; ,19 March 2004 (USA),7.3,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies."
Days of Thunder,1990,PG-13,1h 47min,Action; Drama; Sport; ,27 June 1990 (USA),6,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear."
Dead Poets Society,1989,PG,2h 8min,Comedy; ,9 June 1989 (USA),8.1,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
Deadpool,2016,R,1h 48min,Action; Adventure; Comedy; ,12 February 2016 (USA),8,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."
Deadpool 2,2018,R,1h 59min,Comedy; ,18 May 2018 (USA),7.7,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.
Dear John,2010,PG-13,1h 48min,Drama; Romance; War; ,5 February 2010 (USA),6.3,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas."
Deepwater Horizon,2016,PG-13,1h 47min,Action; Drama; History; ,30 September 2016 (USA),7.1,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history."
Defiance,2008,R,2h 17min,Action; Drama; History; ,16 January 2009 (USA),7.2,"Based on a true story, during World War II, four Jewish brothers escape their Nazi-occupied homeland of West Belarus in Poland and join the Soviet partisans to combat the Nazis. The brothers begin the rescue of roughly 1,200 Jews still trapped in the ghettos of Poland."
Deja Vu,2006,PG-13,2h 6min,Action; Crime; Sci-Fi; ,22 November 2006 (USA),7,"Called in to recover evidence in the aftermath of a horrific explosion on a New Orleans ferry, Federal agent Doug Carlin gets pulled away from the scene and taken to a top-secret government lab that uses a time-shifting surveillance device to help prevent crime."
Departures,2008,PG-13,2h 10min,Drama; Music; ,19 June 2009 (USA),8.1,"Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant."
Despicable Me,2010,PG,1h 35min,Animation; Comedy; ,9 July 2010 (USA),7.6,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care."
Despicable Me 2,2013,PG,1h 38min,Animation; Adventure; Comedy; ,3 July 2013 (USA),7.3,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.
Detroit,2017,R,2h 23min,Crime; Drama; History; ,4 August 2017 (USA),7.3,A police raid in Detroit in 1967 results in one of the largest citizens' uprisings in the history of the United States.
Detroit Rock City,1999,R,1h 35min,Comedy; Music; ,13 August 1999 (USA),6.9,"In 1978, a Kiss concert was an epoch-making event. For the three teen fans in Detroit Rock City getting tickets to the sold-out show becomes the focal point of their existence. They'll do anything for tickets -- compete in a strip club's amateur-night contest, take on religious protesters, even rob a convenience store!"
Die Hard,1988,R,2h 12min,Action; Thriller; ,20 July 1988 (USA),8.2,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her offices Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
Die Hard 2,1990,R,2h 4min,Action; Thriller; ,3 July 1990 (USA),7.2,"One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead."
Die Hard with a Vengeance,1995,R,2h 8min,Action; Adventure; Thriller; ,19 May 1995 (USA),7.6,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration."
Dirty Dancing,1987,PG-13,1h 40min,Drama; Music; Romance; ,21 August 1987 (USA),7,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love."
District 9,2009,R,1h 52min,Action; Sci-Fi; Thriller; ,14 August 2009 (USA),7.9,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9."
